dataset,model,scope,repetition,half_probe_count,mean_left,mean_right,signed_model_mean_difference,absolute_model_mean_difference,sample_mae,sample_rmse,sample_spearman
refcoco,groundingdino,full_manifest,41,40,0.8540999999999999,0.85665,-0.002549999999999999,0.002549999999999999,0.029950000000000004,0.05230917701512804,0.9472072095547754
refcoco,groundingdino,clean_eligible,41,40,0.8558116232464928,0.8583667334669338,-0.0025551102204408806,0.0025551102204408806,0.030010020040080163,0.052361564786910904,0.9468627207754376
refcoco,groundingdino,full_manifest,42,40,0.8546000000000001,0.85615,-0.001550000000000001,0.001550000000000001,0.030850000000000002,0.05216560169306974,0.9458055846501684
refcoco,groundingdino,clean_eligible,42,40,0.8563126252505011,0.8578657314629258,-0.0015531062124248506,0.0015531062124248506,0.03091182364729459,0.05221784567380798,0.9454515029555426
refcoco,groundingdino,full_manifest,43,40,0.8554499999999999,0.8553,0.00015000000000000148,0.00015000000000000148,0.030049999999999997,0.05158730463980455,0.94574550493935
refcoco,groundingdino,clean_eligible,43,40,0.8571643286573145,0.8570140280561122,0.00015030060120240627,0.00015030060120240627,0.030110220440881765,0.05163896945459567,0.945390965148016
refcoco,groundingdino,full_manifest,44,40,0.85365,0.8571,-0.0034500000000000012,0.0034500000000000012,0.030650000000000004,0.05235694796299723,0.9406444215513485
refcoco,groundingdino,clean_eligible,44,40,0.8553607214428858,0.8588176352705411,-0.0034569138276553117,0.0034569138276553117,0.030711422845691384,0.05240938357750402,0.9402559600500044
refcoco,groundingdino,full_manifest,45,40,0.85545,0.8553,0.0001500000000000019,0.0001500000000000019,0.031950000000000006,0.054829280498653266,0.9399518570905588
refcoco,groundingdino,clean_eligible,45,40,0.8571643286573146,0.8570140280561122,0.00015030060120240662,0.00015030060120240662,0.032014028056112226,0.054884192160386175,0.9395587176294359
refcoco,groundingdino,full_manifest,46,40,0.85705,0.8537,0.0033499999999999992,0.0033499999999999992,0.028149999999999998,0.04915536593292741,0.9547412272153072
refcoco,groundingdino,clean_eligible,46,40,0.8587675350701403,0.8554108216432866,0.0033567134268537068,0.0033567134268537068,0.0282064128256513,0.04920459515501309,0.9544465440003422
refcoco,groundingdino,full_manifest,47,40,0.8583,0.85245,0.005850000000000001,0.005850000000000001,0.030050000000000004,0.05075677294706589,0.9479222205921424
refcoco,groundingdino,clean_eligible,47,40,0.8600200400801603,0.8541583166332666,0.005861723446893788,0.005861723446893788,0.03011022044088177,0.05080760598228677,0.9475819842290326
refcoco,groundingdino,full_manifest,48,40,0.85775,0.853,0.004750000000000002,0.004750000000000002,0.030950000000000002,0.05110039138793361,0.9436367266453364
refcoco,groundingdino,clean_eligible,48,40,0.8594689378757515,0.8547094188376754,0.0047595190380761545,0.0047595190380761545,0.031012024048096196,0.05115156855788358,0.9432686766470965
refcoco,groundingdino,full_manifest,49,40,0.8533,0.8574499999999999,-0.004150000000000001,0.004150000000000001,0.03205,0.05418717560456533,0.9457231387406949
refcoco,groundingdino,clean_eligible,49,40,0.8550100200400801,0.8591683366733466,-0.004158316633266534,0.004158316633266534,0.032114228456913835,0.05424144419663874,0.9453689549215454
refcoco,groundingdino,full_manifest,50,40,0.853,0.85775,-0.004750000000000002,0.004750000000000002,0.027950000000000003,0.04750000000000001,0.9495656240369168
